is_ios,source_file,eventType,eventSampleSpeed,eventDurationSeconds,eventMilesDriven,eventGPSSignalStrength,eventStartSpeed,eventEndSpeed,memsMedianHorizontalNorm,gyro_angular_change_per_second,gyroAngleChange,mems_radius,eventSpeedChange
0,android_turns.csv,5.0,7.7591,4.5998597,0.007649539,3.0319476,6.9940343,10.293024,1.5380197,19.468254,90.25637,6.233544,3.298989700000001
0,android_turns.csv,4.0,5.43102,4.5274377,0.005006963,1.7825519,2.5441697,7.9274497,0.9655751,17.935736,81.85255,6.116501,5.383280000000001
0,android_turns.csv,4.0,6.4651494,6.447391,0.01086778,3.346953,7.445166,4.5580053,1.0059364,14.175184,91.9064,1.9625666,-2.887160700000001
0,android_turns.csv,5.0,6.919808,5.1434064,0.006893582,4.03082,8.859826,6.2737503,1.2399218,16.852331,87.288795,7.7344766,-2.5860757000000003
0,android_turns.csv,4.0,11.282194,5.0709066,0.012370514,2.9847264,8.14375,13.322565,1.7524247,19.259855,98.36254,4.520227,5.178815
0,android_turns.csv,5.0,10.633601,3.9119065,0.00883358,3.8501117,12.152343,10.893514,1.8941398,22.215368,87.70911,6.6289115,-1.2588290000000004
0,android_turns.csv,4.0,19.885094,9.381578,0.043645814,2.3551402,17.623583,22.556856,1.9108144,11.039498,103.96779,7.603957,4.933273
0,android_turns.csv,5.0,24.09053,5.6189923,0.027394835,1.7268672,24.00111,23.11936,1.4883149,7.9759927,45.106186,14.790797,-0.8817500000000003
0,android_turns.csv,5.0,29.28716,15.173688,0.11411504,2.4778624,30.997713,29.607496,0.48752388,6.690226,101.75769,14.147639,-1.3902169999999998
0,android_turns.csv,4.0,29.258516,11.950657,0.07986205,1.9726135,32.964577,28.341969,0.81096065,6.599388,79.10602,11.558389,-4.622608
0,android_turns.csv,5.0,21.132391,6.3736877,0.029071659,3.4393592,19.555786,24.64109,3.0252643,14.6883135,94.15065,4.0506124,5.085303999999997
0,android_turns.csv,5.0,16.232857,5.2169065,0.017514793,2.4002807,14.525237,20.183868,1.5422758,10.918913,57.35853,20.622578,5.658631
0,android_turns.csv,4.0,12.707654,8.078719,0.026349649,5.3855224,6.6652536,18.55743,0.7646418,10.628964,86.25347,4.983142,11.8921764
0,android_turns.csv,4.0,11.243034,4.8037815,0.012406387,3.6766067,6.978685,13.631631,2.244937,20.12628,97.40917,1.5852625,6.652946000000001
0,android_turns.csv,5.0,11.43855,4.0566955,0.009138593,3.9457932,9.403364,14.34944,1.872885,21.636492,88.55634,6.6946774,4.946076
0,android_turns.csv,4.0,13.877511,5.5052505,0.015563535,2.3587735,7.1113086,19.897284,1.9670213,18.68324,103.5326,5.0966673,12.785975399999998
0,android_turns.csv,5.0,9.13797,5.8811255,0.012580036,2.263901,8.035872,8.910383,1.2861676,14.527308,85.961075,5.187884,0.874511
0,android_turns.csv,4.0,13.7993145,4.2015004,0.011713381,2.0512826,13.229864,15.459779,2.3032322,18.965712,80.37138,4.817575,2.229915
0,android_turns.csv,5.0,11.941442,4.274,0.00965225,1.8068423,10.343784,13.522298,2.0758872,19.571955,84.35944,2.7079175,3.178514
0,android_turns.csv,4.0,11.39,5.3356876,0.016109763,2.214674,11.873104,12.823156,1.2553523,14.849546,79.39037,4.568006,0.9500520000000012
0,android_turns.csv,4.0,43.425877,13.436907,0.14429186,3.0921874,44.414745,45.247223,1.2234854,7.063112,95.162186,63.373375,0.8324779999999947
0,android_turns.csv,4.0,16.688852,6.012516,0.022538088,2.194656,12.187534,19.156729,1.4725415,6.548029,39.60588,87.96259,6.969194999999999
0,android_turns.csv,5.0,9.714103,3.1149845,0.005789883,5.029112,6.7726846,12.309963,1.5800734,11.310661,35.642216,41.248817,5.5372784
0,android_turns.csv,5.0,6.195328,3.9481096,0.004467828,2.8525653,6.1265087,4.8446617,1.1050127,22.67255,90.33494,4.413917,-1.281847
0,android_turns.csv,4.0,5.5592227,5.360719,0.006194736,2.4607835,2.4728045,7.3658185,0.7752495,15.032756,81.13088,6.7249312,4.893013999999999
0,android_turns.csv,4.0,6.6254625,5.252055,0.009139109,3.0310762,9.020829,4.1669407,1.0651032,15.910549,84.13937,5.7642436,-4.853888300000001
0,android_turns.csv,5.0,7.5793552,4.9985313,0.008557434,3.395524,9.648649,7.1029325,1.7662827,17.475393,87.98428,9.007772,-2.545716500000001
0,android_turns.csv,4.0,11.5916605,5.6143126,0.01362276,3.416469,7.269586,15.3086605,2.2087407,18.359106,103.73875,13.746216,8.0390745
0,android_turns.csv,5.0,10.79202,3.7670665,0.008451482,4.092439,11.999654,10.833087,2.5317698,23.031013,87.59359,7.7445707,-1.1665669999999988
0,android_turns.csv,5.0,12.371704,6.555469,0.017098047,2.4399192,10.974153,12.556647,0.8006269,10.159149,66.965935,8.072183,1.5824940000000005
0,android_turns.csv,4.0,13.157052,4.4909534,0.011218352,3.389101,10.388215,15.482033,2.3053408,21.709784,98.28389,6.065581,5.093817999999999
0,android_turns.csv,5.0,11.608261,3.549375,0.006133393,3.680827,10.772672,12.789589,2.4016962,24.808424,88.95292,4.5014925,2.0169169999999994
0,android_turns.csv,4.0,26.461405,7.786391,0.05083573,1.419443,28.164547,29.060656,0.2768751,13.342327,104.37177,2.2718155,0.8961090000000027
0,android_turns.csv,5.0,30.439096,11.842782,0.09301778,2.3492365,19.554066,38.010403,0.22055726,7.07328,84.0227,5.861442,18.456336999999998
0,android_turns.csv,4.0,10.604725,6.4849377,0.018636758,2.337421,6.748412,11.400393,0.3022115,11.860362,77.34339,1.7468461,4.651980999999999
0,android_turns.csv,4.0,11.506858,6.3745317,0.020210616,3.228301,12.824707,8.076443,1.3666141,10.119854,64.87586,17.496916,-4.748264000000001
0,android_turns.csv,5.0,19.610737,3.5856721,0.011029424,0.85666656,18.75988,20.67149,2.8159883,13.965567,50.58176,3.042758,1.9116099999999996
0,android_turns.csv,4.0,15.565373,5.5941877,0.02041305,12.755102,17.179699,15.546732,2.2189035,17.977604,101.283356,23.526718,-1.632966999999999
0,android_turns.csv,4.0,7.0060954,9.520906,0.017920192,7.6530614,4.4962487,6.9792523,1.1139874,18.939455,181.07211,8.634656,2.4830036
