eventType,eventSampleSpeed,eventDurationSeconds,eventMilesDriven,eventSensorDetectionMthd,eventGPSSignalStrength,eventStartSpeed,eventEndSpeed,memsMedianLateralAccel,memsP75LateralAccel,memsP95LateralAccel,memsMedianHorizontalNorm,memsP75HorizontalNorm,memsP95HorizontalNorm,gpsMedianLateralAccel,gpsP75LateralAccel,gpsP95LateralAccel,bearing_angular_change_per_second,gyro_angular_change_per_second,bearingAngleChange,gyroAngleChange,mems_radius,gps_radius
4,6.151584,2.9755,0.004350037,1,19.897959,2.5948503,8.276677,2.903421,3.1162229,3.6264443,3.1890652,3.5967097,4.0487714,0.0,9.6669445,9.6669445,50.31087,27.415617,149.7,82.66284,10.97567,inf
5,5.9502597,1.983875,0.002211135,0,11.22449,6.352909,5.7713046,5.666477,5.730896,6.092869,5.7495747,5.8412623,6.5431657,0.7831431,2.2026858,2.2026858,28.328398,2.6000786,72.0,5.2613955,6954.395,10.298458
5,15.943789,6.9430943,0.025088094,0,44.387756,13.555856,18.387646,0.4479402,1.171251,2.0747254,0.9432272,1.9206028,2.2741446,1.0359123,2.328093,4.3866625,14.071535,6.0844254,110.101974,42.48614,121.66802,58.430187
4,14.24707,8.966594,0.033820547,0,41.581635,7.4713793,27.111712,0.8573487,1.3670893,2.1865046,1.1902716,1.5387474,2.4394367,2.2130616,4.8154087,9.192262,18.82543,5.0392003,268.60464,45.383507,91.386055,14.9538355
5,5.0554843,0.95218754,0.001627989,0,12.755102,2.796175,7.3147936,0.5323732,1.4511483,1.9522095,2.7665963,3.535699,5.480419,1.0222206,1.0222206,1.0222206,34.972107,22.745953,39.899998,22.560844,9.825822,8.2386875
4,9.089433,1.983547,0.00553967,0,25.510204,7.560857,8.433264,0.01866728,0.58393055,1.1736712,8.029915,8.137434,8.28043,0.51321775,0.9499921,0.9499921,8.570505,0.45472234,25.699802,0.9200024,1289.2614,26.737312
5,13.344588,8.132641,0.028648159,0,28.061224,14.674326,7.404271,1.3272855,1.7243168,2.2080266,2.5495963,8.103125,8.502812,0.92569774,1.6628002,2.2168574,11.8288765,11.050952,92.301445,90.31183,904.73975,30.400152
5,15.093752,3.9671097,0.010542833,1,31.632652,13.734811,13.77955,1.7975149,2.0388474,2.483074,2.0528874,2.3353925,3.0170412,0.876699,2.3310077,2.3310077,10.208944,18.703255,37.100773,74.93984,13.947484,66.14856
4,8.474273,5.634813,0.012432788,1,22.193878,11.811042,3.8699062,0.6940601,1.8817499,2.359972,1.8132926,2.0918393,2.5518851,0.453817,0.5384807,0.8051162,5.85645,15.221751,35.000443,86.37575,9.26329,33.78178
5,26.569254,4.1664376,0.018444179,1,30.102041,18.477123,26.35115,2.123294,2.6678789,3.1366177,2.5078692,2.873721,3.2975392,3.0030725,4.42724,4.42724,11.304621,21.47279,42.900005,90.317085,11.933727,67.14441
