init_time,eventAction,payloadCreation,eventStart,eventEnd,eventType,eventSampleSpeed,eventDurationSeconds,eventMilesDriven,eventStartLatitude,eventStartLongitude,eventEndLatitude,eventEndLongitude,eventSensorDetectionMthd,eventGPSSignalStrength,eventStartSpeed,eventEndSpeed,eventSpeedChange,memsMedianLateralAccel,memsP75LateralAccel,memsP95LateralAccel,memsMedianHorizontalNorm,memsP75HorizontalNorm,memsP95HorizontalNorm,gpsMedianLateralAccel,gpsP75LateralAccel,gpsP95LateralAccel,bearing_angular_change_per_second,gyro_angular_change_per_second,bearingAngleChange,gyroAngleChange,mems_radius,gps_radius,validity_mean,speed_gap,aggressive
2331922066.399298,1,1,578920.44,583642.56,4,18.418962,4.722125,0.02160642,41.81818,-87.87268,41.818348,-87.87241,1,17.34694,17.85078,21.810163,-1,2.9045818,3.3321335,3.7980337,3.0416138,3.4372258,3.8731837,1.0899464,4.138344,6.8066006,18.148607,19.948822,91.902885,94.99243,19.63907,54.535625,1,3.959382999999999,0
2331922066.399298,1,1,233493.55,235477.89,5,12.40756,1.9843439,0.006954479,41.817223,-87.92236,41.81725,-87.92223,0,7.142857,9.954382,15.367777,-1,0.21469252,0.2809072,0.35157353,0.2870221,0.40711427,0.5116576,0.8872667,5.7782803,5.7782803,7.2568073,0.09871277,88.80139,0.19979768,8054.9233,43.543617,1,5.4133949999999995,0
2331922066.399298,1,1,186510.12,190240.06,5,10.073687,3.7299378,0.006174002,41.81659,-87.92555,41.816677,-87.92553,1,17.34694,10.849157,8.4780035,-1,2.0994563,3.0240765,3.5072713,2.9104438,3.2546568,3.7085848,0.07649572,0.37041876,0.37041876,1.7426564,23.229597,7.300114,87.56671,11.355587,310.0255,1,-2.3711535,0
2331922066.399298,1,1,117505.03,121473.15,4,19.197416,3.9681175,0.023005575,41.81104,-87.92698,41.811256,-87.92667,0,21.938776,15.188823,22.123335,-1,1.7249662,2.5548377,2.9722328,2.2408004,2.9666095,3.3022382,2.3819964,3.0646284,3.2659123,16.657774,10.386413,75.10146,41.62665,29.786037,41.06087,1,6.934512000000002,0
187947262.5,1,1,401863.9,407622.16,4,9.850833,5.75825,0.012756605,41.774147,-87.60581,41.774082,-87.605606,0,1.4000087,13.424994,8.185909,-1,1.2526429,1.851043,2.5490696,1.5623546,2.3022764,3.074963,1.145862,1.5328212,1.7844068,14.358303,15.483484,92.04743,89.71851,14.272612,15.072842,1,-5.239084999999999,0
187947262.5,1,1,184321.61,189482.83,4,14.316982,5.161219,0.016126307,41.787106,-87.605896,41.786964,-87.60611,2,2.119146,14.597254,14.814849,-1,2.0219226,2.312111,2.5831175,2.0378041,2.3146324,2.5903244,2.2793093,2.464019,2.5637589,14.63602,16.502178,80.24369,85.76696,17.712963,17.799936,1,0.2175950000000011,0
10290106.12,1,1,1628814.8,1633774.6,4,7.210403,4.959875,0.010095953,41.822468,-87.87173,41.822575,-87.87161,0,18.622448,11.676826,4.8541594,-1,0.51666164,0.966378,1.1747115,1.0717824,1.2678201,1.8525716,0.7463612,0.93543637,1.2246559,15.947982,7.756005,87.10217,38.776566,28.726389,11.392315,1,-6.8226666,0
10290106.12,1,1,1616474.4,1620918.5,5,12.853457,4.444125,0.015564287,41.822277,-87.872604,41.82244,-87.87243,2,17.857143,13.242683,13.667703,-1,1.477237,1.8896221,2.2676663,1.7569985,2.0439603,2.4006557,2.228708,2.3299518,2.4365537,20.093945,20.320848,92.700005,91.114716,8.4555645,16.749655,1,0.42501999999999995,0
10290106.12,1,1,1565526.1,1570168.5,4,14.571425,4.642375,0.017379694,41.81814,-87.87265,41.818295,-87.87245,2,15.816326,12.862406,17.761303,-1,2.5766819,2.841389,3.3035882,2.6612854,2.8855653,3.3236568,2.1925633,3.07606,3.2980251,19.989767,20.230974,95.99999,94.722496,17.039085,16.156975,1,4.898897000000002,0
10290106.12,1,1,1098977.8,1105366.2,4,25.441462,6.3885,0.035682037,41.811092,-87.94559,41.810856,-87.94505,2,22.448978,24.248428,30.019733,-1,3.0809636,3.3797526,3.6204774,3.2389205,3.441998,3.6873493,3.267849,3.4906955,3.658103,13.258198,14.840901,93.100006,95.399994,36.00018,38.060852,1,5.771304999999998,0
