eventStart,eventEnd,eventType,eventSampleSpeed,eventDurationSeconds,eventMilesDriven,eventStartLatitude,eventStartLongitude,eventEndLatitude,eventEndLongitude,eventGPSSignalStrength,eventStartSpeed,eventEndSpeed,memsMedianHorizontalNorm,gyro_angular_change_per_second,gyroAngleChange,mems_radius,is_ios,dv,turn_intensity,angle_norm,radius_log
684637.06,688922.7,4.0,9.672528,4.285625,0.00881372,41.834618,-87.86155,41.83472,-87.8615,11.22449,7.202946,16.77705,1.8282379,20.397463,88.22528,9.4752245,0,9.574103999999998,1.9472101051390354,0.6960712052243092,2.349012897559447
583407.44,587613.9,5.0,11.447538,4.2064376,0.009582674,41.834152,-87.87363,41.834213,-87.87347,10.204082,6.6884503,17.627085,1.9176455,12.339009,52.388348,17.361412,0,10.938634700000001,0.6720076320927824,0.4414146146923221,2.910251288553288
574360.6,579320.44,5.0,5.314969,4.9598126,0.006728521,41.833958,-87.873795,41.83404,-87.87375,16.32653,2.259309,7.9411364,0.6621094,12.617251,63.079838,4.5673494,0,5.6818274,2.266294082422777,0.5230924875898,1.7169190699406942
424137.66,428859.7,4.0,8.258781,4.7220316,0.009071294,41.833782,-87.87381,41.833908,-87.87377,9.183674,10.0438595,4.47388,1.1317598,11.250168,53.570065,10.7762,0,5.5699795,0.9553309216895094,0.4506443531900526,2.466080545537951
419296.62,423463.1,5.0,8.483594,4.166469,0.006303502,41.83366,-87.87393,41.833744,-87.873886,13.520409,8.209569,9.30567,1.434945,13.291544,55.906227,6.4373336,0,1.096100999999999,1.7871383367824187,0.4687488686456671,2.0065123975122225
366957.9,371679.8,4.0,10.5136175,4.7219067,0.00933154,41.827034,-87.87269,41.82716,-87.87264,9.948979,4.2054467,18.790295,2.293165,19.320288,91.995224,16.040436,0,14.5848483,1.133790708172021,0.7193108474210094,2.8355891079282918
251601.34,255966.19,5.0,17.255753,4.364844,0.018333465,41.826916,-87.87392,41.827023,-87.873726,18.367348,6.9345136,19.416637,2.5177422,19.238392,84.73596,4.311239,0,12.482123400000003,3.622204159895648,0.6738895932708574,1.6698251413691922
228270.42,232516.02,5.0,12.185729,4.245594,0.012301646,41.825176,-87.87375,41.82528,-87.87388,19.132652,4.787051,15.725687,2.0086043,20.670204,88.57746,1.8138013,0,10.938636,7.346006983506618,0.698274496157406,1.0345363449695406
213033.78,217834.92,4.0,13.89587,4.801141,0.015668066,41.825115,-87.8727,41.82519,-87.87298,15.306123,6.0844765,18.58897,2.2775269,17.671757,85.54579,19.140535,0,12.504493499999999,0.8774224219962379,0.6790941215631133,3.0027344509892364
169187.42,173393.53,5.0,11.084038,4.2061095,0.009693391,41.822506,-87.87255,41.822605,-87.87267,17.34694,4.518618,14.047981,2.2253137,21.170132,89.883934,2.7036335,0,9.529363,5.716043987613785,0.706390213527851,1.3093143648041141
