eventStart,eventEnd,eventType,eventSampleSpeed,eventDurationSeconds,eventMilesDriven,eventStartLatitude,eventStartLongitude,eventEndLatitude,eventEndLongitude,eventGPSSignalStrength,eventStartSpeed,eventEndSpeed,memsMedianHorizontalNorm,gyro_angular_change_per_second,gyroAngleChange,mems_radius,is_ios,dv,aggression_score,angle_rate_ratio,curvature,turn_intensity
281581.8,284008.47,4.0,17.614796,2.4266562,0.009790031,41.802547,-87.58648,41.80268,-87.58642,3.2968411,16.154812,19.328545,1.4548243,10.865139,26.75948,23.74363,0,3.1737329999999986,0.8395721241491789,0.3914028288714342,0.040414442020026975,0.4391085301550338
238010.19,242537.62,4.0,5.43102,4.5274377,0.005006963,41.800182,-87.585335,41.800194,-87.58543,1.7825519,2.5441697,7.9274497,0.9655751,17.935736,81.85255,6.116501,0,5.383280000000001,0.5588152442378577,0.21647777889757164,0.14051849356867932,2.52030260376553
173538.03,179985.42,4.0,6.4651494,6.447391,0.01086778,41.800045,-87.58542,41.800163,-87.58533,3.346953,7.445166,4.5580053,1.0059364,14.175184,91.9064,1.9625666,0,2.887160700000001,0.17635791043963722,0.15257489258005905,0.33754515425914816,4.784764669931809
158325.22,163396.12,4.0,11.282194,5.0709066,0.012370514,41.79959,-87.58562,41.799736,-87.585526,2.9847264,8.14375,13.322565,1.7524247,19.259855,98.36254,4.520227,0,5.178815,0.4535257811969184,0.19383416526992972,0.1811519707432321,3.488960689478893
172903.39,182284.97,4.0,19.885094,9.381578,0.043645814,41.792454,-87.58091,41.79271,-87.580246,2.3551402,17.623583,22.556856,1.9108144,11.039498,103.96779,7.603957,0,4.933273,0.17168063413179405,0.10517033844382168,0.11622559248029712,1.283072195735055
430333.84,442284.5,4.0,29.258516,11.950657,0.07986205,41.79265,-87.584404,41.791912,-87.58548,1.9726135,32.964577,28.341969,0.81096065,6.599388,79.10602,11.558389,0,4.622608,0.11189209205269644,0.08238317170170233,0.07962804783320536,0.5254963833338815
105391.56,113470.28,4.0,12.707654,8.078719,0.026349649,41.896896,-87.62185,41.896782,-87.62139,5.3855224,6.6652536,18.55743,0.7646418,10.628964,86.25347,4.983142,0,11.8921764,0.5179020009308029,0.12181709220275137,0.16713626385601413,1.7764853316200753
154278.55,159082.33,4.0,11.243034,4.8037815,0.012406387,41.79962,-87.58561,41.79976,-87.585495,3.6766067,6.978685,13.631631,2.244937,20.12628,97.40917,1.5852625,0,6.652946000000001,0.6318865778988716,0.20451630676287585,0.38680791602400144,7.78500442411554
1135705.8,1141211.0,4.0,13.877511,5.5052505,0.015563535,41.84685,-87.6269,41.84682,-87.626625,2.3587735,7.1113086,19.897284,1.9670213,18.68324,103.5326,5.0966673,0,12.785975399999998,0.9898473778988335,0.1787312283440764,0.1640240398225437,3.0645005017741416
1075373.2,1079574.8,4.0,13.7993145,4.2015004,0.011713381,41.84751,-87.628204,41.84741,-87.628044,2.0512826,13.229864,15.459779,2.3032322,18.965712,80.37138,4.817575,0,2.229915,0.25892959680766303,0.2330759537321353,0.17189292789521407,3.260071765297396
