eventType,eventSampleSpeed,eventDurationSeconds,eventMilesDriven,eventGPSSignalStrength,eventStartSpeed,eventEndSpeed,memsMedianHorizontalNorm,gyro_angular_change_per_second,gyroAngleChange,mems_radius,is_ios
4.0,18.15629,8.002219,0.02960543,4.940434,23.199816,10.753336,2.1945655,10.696383,86.02278,28.24154,1
4.0,18.769865,6.2017345,0.03233829,4.7362757,24.984604,19.433374,2.459577,13.991057,87.32862,18.155989,1
5.0,15.689516,5.4015,0.024611646,4.733603,8.163301,23.127623,3.5262642,16.11334,87.68092,37.417347,1
4.0,9.551485,2.1960626,0.0022557694,10.0,10.817345,8.285625,1.5511291,12.172577,27.217772,36.992844,1
5.0,20.645018,5.6299376,0.021938808,10.0,25.202112,16.226017,1.494227,8.367572,47.443016,16.338753,1
5.0,21.711409,2.8748438,0.012174105,10.0,21.749767,21.749767,1.4853137,9.117914,26.576643,38.100124,1
4.0,23.44717,3.992875,0.019608123,10.0,24.971956,22.095001,1.6112204,6.872697,27.716238,74.862755,1
4.0,10.909407,4.991094,0.014298346,10.0,5.6388288,17.376799,2.0446227,16.982874,85.44122,7.41149,1
5.0,13.792935,6.2288127,0.020927295,10.0,19.563284,15.190313,1.8776618,14.38394,90.1692,19.183004,1
4.0,14.15461,7.786055,0.024567658,10.0,20.829142,19.333128,2.2533016,10.75841,84.195145,26.859554,1
4.0,20.416853,4.0298753,0.025991533,4.7335496,14.286947,24.734245,4.009408,18.620342,75.79561,6.285453,1
5.0,9.117452,5.587469,0.01175553,2.7454526,8.3622465,13.489152,1.6128196,13.175637,74.148094,20.556042,1
4.0,5.6707544,7.798348,0.009163649,2.610529,4.8580995,9.104818,1.8198159,22.859623,179.1862,2.1692019,1
5.0,12.647101,3.5788205,0.0077175666,4.744991,8.980142,16.684216,3.1582372,18.520412,67.02597,15.304317,1
5.0,7.9831843,5.708,0.011417464,4.9069567,10.758066,4.6953254,0.90446854,10.218336,58.734146,29.85051,1
5.0,7.9740987,6.6711254,0.014516781,4.7744274,4.3991733,12.005855,1.521756,9.135378,61.306007,51.018097,1
5.0,18.432648,3.3782501,0.008391273,4.747162,18.549484,18.542913,3.8500261,22.612825,77.3012,6.475125,1
5.0,8.813884,4.7856255,0.012115316,4.7392387,5.9815826,14.838782,1.8861332,15.263255,73.658035,12.332567,1
4.0,11.582851,4.7065,0.012779195,4.738225,5.052813,16.969175,2.0382652,10.694472,50.76374,47.368977,1
4.0,17.139008,7.0497346,0.034746327,4.767905,8.368951,24.72228,2.3129864,14.444514,102.40856,19.996887,1
4.0,9.2279,6.769336,0.018092731,4.764975,5.5967283,12.204788,1.0248019,11.596956,78.968216,11.952291,1
4.0,9.933088,3.7725003,0.0068788175,4.776493,11.293605,9.7104025,1.9161651,20.90229,79.68394,3.588516,1
4.0,7.09313,7.10825,0.016436504,4.791341,1.6172948,10.387213,1.4857655,12.72714,90.9731,17.710985,1
5.0,5.887513,3.9315002,0.008287805,4.788972,1.2806216,8.958616,2.1295772,15.213766,60.417095,15.819246,1
5.0,5.8111234,4.08925,0.0055474993,4.7939205,4.3931093,7.66232,1.8846807,21.450987,88.57008,2.6207492,1
4.0,16.656387,5.440875,0.025641145,4.799112,13.663043,17.21338,1.4591098,11.063095,60.63228,15.050939,1
5.0,14.900282,4.090328,0.010093918,4.794367,15.770465,14.367803,2.298891,15.323924,63.288425,8.08798,1
5.0,14.6724615,4.2809067,0.011058837,10.0,17.376799,13.349063,3.2263598,20.930153,90.437416,16.815525,1
5.0,10.458947,4.55625,0.011129351,4.744149,4.631386,16.697582,1.8694888,11.791538,54.19647,38.66545,1
4.0,13.272346,5.7153754,0.024092412,4.744027,11.408055,14.0400305,1.8447196,15.577067,89.65136,4.0842757,1
4.0,8.225228,16.985626,0.051072944,4.742625,0.0,17.388988,1.3059201,15.661436,266.64526,9.022948,1
4.0,6.799721,4.2102504,0.011224107,4.9213533,3.075628,11.406767,2.035888,13.880686,58.992496,14.827609,1
5.0,6.106043,3.29675,0.005365721,4.8560925,5.836562,5.9534693,0.84524596,9.42233,31.43732,33.598915,1
4.0,8.961099,4.5030785,0.014336408,4.741221,7.201111,11.507718,1.1884772,19.601822,89.04968,3.0937338,1
5.0,14.650272,4.819633,0.01524961,4.7124925,19.068684,13.308309,2.571549,18.998377,92.328255,7.6494274,1
4.0,18.185377,5.6069846,0.029920561,10.389812,26.94837,10.262463,2.4048216,14.746716,83.275215,15.732211,1
5.0,17.774342,10.152094,0.048019253,5.0,23.015629,16.916485,0.8178126,7.8809056,80.32269,25.054993,1
4.0,20.325676,15.868313,0.11164019,5.0,17.83711,22.095001,0.9622051,10.304876,163.9329,6.4438276,1
4.0,9.196661,6.11534,0.017627867,5.0,6.4443755,11.853047,1.0167259,8.883927,54.68333,15.905948,1
4.0,17.491245,6.063438,0.03155426,4.745328,12.714198,24.038101,2.1517715,13.837359,84.45396,28.43496,1
4.0,25.93094,3.1542501,0.014533919,10.0,26.00766,26.237816,1.4509422,7.832201,25.021448,27.646053,1
5.0,19.946877,2.6751564,0.010271636,10.0,21.864845,18.52758,2.970717,16.65635,45.223385,7.377853,1
5.0,27.227488,5.150875,0.030746184,10.0,26.698126,28.079065,1.5469228,7.2749577,37.762882,11.556075,1
4.0,21.501879,10.442063,0.06123979,4.7391853,23.758556,25.641655,1.9258318,11.183614,117.22915,67.04021,1
4.0,23.706095,8.343875,0.049959064,10.0,23.591017,23.475939,1.041034,6.9305315,58.104176,24.47116,1
5.0,24.074347,5.2299376,0.028461058,10.0,21.059298,27.15844,1.9320872,8.936951,47.096485,38.07653,1
5.0,9.781642,3.673,0.010835943,10.0,0.80554694,17.26172,2.4161482,12.612785,46.830315,36.372616,1
5.0,19.579723,6.6671877,0.031161778,10.0,27.273518,10.47211,2.3159084,11.261708,75.53353,53.059326,1
5.0,9.89672,3.6330314,0.009957183,10.0,4.833282,14.730001,1.6872698,8.56676,31.465324,62.499485,1
5.0,12.612563,5.629219,0.013069473,10.0,16.801407,7.9403915,1.6748705,7.831691,44.398975,61.556946,1
4.0,19.270184,3.8993907,0.01579003,4.734122,15.651154,22.872635,2.477514,14.210088,55.98193,11.181483,1
4.0,12.802053,4.6295004,0.01701739,4.7474008,8.354229,17.215467,2.4243374,18.5391,86.56666,9.038189,1
5.0,11.088865,4.2702503,0.017224284,4.744434,7.174879,13.00483,2.1099849,19.84794,85.54778,3.212548,1
4.0,17.074442,5.068375,0.02478171,4.746008,17.89007,18.439259,2.836972,17.298378,88.36502,4.2108684,1
5.0,14.170062,5.8695,0.024567708,4.739087,12.636238,19.256983,2.1085322,14.872855,87.89008,16.761787,1
5.0,11.373685,6.7886567,0.017009342,4.730914,16.880714,8.299779,1.6557622,14.3181505,97.77278,14.167495,1
5.0,13.081618,7.2679377,0.026766893,4.739338,19.273909,15.70795,2.2943683,11.276936,82.41039,60.27797,1
5.0,20.107176,2.954922,0.011388593,4.731925,20.4682,19.946419,1.7690203,11.1188135,33.299217,7.7562385,1
4.0,9.835539,4.4324064,0.010598654,4.731491,9.784387,10.251387,1.704491,20.111282,89.94445,4.2699223,1
5.0,8.676759,3.5539534,0.008643653,4.7343407,6.437073,12.7111845,1.6902313,15.982711,57.440033,20.711489,1
4.0,26.698883,9.663669,0.06668838,4.731039,26.633904,24.667484,1.4386475,6.5376315,63.438564,23.449787,1
4.0,13.050301,6.8024144,0.02866064,4.74252,5.7090807,21.965345,1.5128609,12.175231,83.311035,19.312353,1
5.0,17.042528,4.3965,0.023491688,4.747875,17.504128,20.13657,3.0917902,18.484007,82.00371,8.069034,1
4.0,19.038963,4.9561253,0.029012302,4.7534423,16.210499,20.612793,3.2373624,17.040668,85.13677,2.4976354,1
5.0,16.987684,5.755297,0.027664296,4.7454042,16.836414,22.720715,2.5412016,14.988587,86.86283,24.846785,1
4.0,12.35172,5.829938,0.016040528,10.0,17.146643,9.206251,1.3131483,11.03056,64.74794,25.782665,1
5.0,17.798752,6.0296564,0.026756413,10.0,16.341095,18.872814,1.2220204,8.244667,50.041733,13.635725,1
4.0,11.363965,3.953219,0.01125622,10.0,11.968125,12.31336,2.1362844,21.507208,85.881516,2.9229856,1
4.0,23.064947,6.828407,0.04504004,10.0,18.52758,27.73383,1.9785571,10.225444,70.23181,22.273893,1
5.0,20.269094,14.505329,0.07817864,10.0,30.380627,13.924455,1.3073201,14.787265,215.08504,6.1838355,1
4.0,16.974026,4.3123126,0.015849993,10.0,15.190313,19.908518,2.3287227,13.917481,60.57224,17.124027,1
5.0,20.138674,5.989375,0.028012538,10.0,20.94422,17.83711,1.510379,8.946014,53.93824,48.27783,1
4.0,9.6377945,3.5536876,0.013071469,10.0,3.6825004,15.880783,3.051074,23.59981,84.80867,12.35372,1
4.0,24.741798,8.06575,0.049365856,10.0,23.475939,32.797268,1.9756693,9.333499,75.65436,30.237377,1
4.0,31.324268,5.4304066,0.036146596,10.0,33.1425,31.071096,3.277982,12.311445,67.34774,8.885709,1
